"Pseudotime","Genotype","Motif_name","Score","P_value","p_value_numeric","neg_log10_p","TF","rank_in_group"
"(0.5,0.55]","BADC","caudal(Homeobox)/Drosophila-Embryos-ChIP-Chip(modEncode)/Homer",0.953,"1e-61",0.0000000000000000000000000000000000000000000000000000000000001,61,"CDX",1
"(0.5,0.55]","BADC","TCF7L2/MA0523.2/Jaspar",0.975,"1e-26",0.00000000000000000000000001,26,"TCF",2
"(0.5,0.55]","BADC","PH0053.1_Hoxa6/Jaspar",0.746,"1e-21",0.000000000000000000001,21,"NKX",3
"(0.5,0.55]","wt","CDX2/MA0465.3/Jaspar",0.903,"1e-23",0.00000000000000000000001,23,"CDX",1
"(0.5,0.55]","wt","TBX3/MA1566.3/Jaspar",0.959,"1e-23",0.00000000000000000000001,23,"TBX6",2
"(0.5,0.55]","wt","Dlx2/MA0885.3/Jaspar",0.992,"1e-14",0.00000000000001,14,"NKX",3
"(0.55,0.6]","BADC","caudal(Homeobox)/Drosophila-Embryos-ChIP-Chip(modEncode)/Homer",0.931,"1e-39",0.000000000000000000000000000000000000001,39,"CDX",1
"(0.55,0.6]","BADC","Tbx21(T-box)/GM12878-TBX21-ChIP-Seq(Encode)/Homer",0.959,"1e-33",0.000000000000000000000000000000001,33,"TBX6",2
"(0.55,0.6]","BADC","TCFL2(HMG)/K562-TCF7L2-ChIP-Seq(GSE29196)/Homer",0.951,"1e-21",0.000000000000000000001,21,"TCF",3
"(0.55,0.6]","BADC","Mesp1(bHLH)/ESC-Mesp1-ChIP-Seq(GSE165102)/Homer",0.912,"1e-17",0.00000000000000001,17,"MESP",4
"(0.55,0.6]","wt","Tbx5(T-box)/HL1-Tbx5.biotin-ChIP-Seq(GSE21529)/Homer",0.924,"1e-65",0.00000000000000000000000000000000000000000000000000000000000000001,65,"TBX6",1
"(0.55,0.6]","wt","Mesp1(bHLH)/ESC-Mesp1-ChIP-Seq(GSE165102)/Homer",0.814,"1e-58",0.0000000000000000000000000000000000000000000000000000000001,58,"MESP",2
"(0.6,0.65]","BADC","MGA/MA0801.1/Jaspar",0.984,"1e-71",0.00000000000000000000000000000000000000000000000000000000000000000000001,71,"TBX6",1
"(0.6,0.65]","BADC","Mesp1(bHLH)/ESC-Mesp1-ChIP-Seq(GSE165102)/Homer",0.799,"1e-62",0.00000000000000000000000000000000000000000000000000000000000001,62,"MESP",2
"(0.6,0.65]","wt","TBX3/MA1566.3/Jaspar",0.961,"1e-99",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,99,"TBX6",1
"(0.6,0.65]","wt","Mesp1(bHLH)/ESC-Mesp1-ChIP-Seq(GSE165102)/Homer",0.814,"1e-67",0.0000000000000000000000000000000000000000000000000000000000000000001,67,"MESP",2
"(0.65,0.7]","BADC","Mesp1(bHLH)/ESC-Mesp1-ChIP-Seq(GSE165102)/Homer",0.979,"1e-92",0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,92,"MESP",1
"(0.65,0.7]","BADC","Tbx6/MA1567.3/Jaspar",0.863,"1e-20",0.00000000000000000001,20,"TBX6",2
"(0.65,0.7]","wt","Mesp1(bHLH)/ESC-Mesp1-ChIP-Seq(GSE165102)/Homer",0.992,"1e-106",0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,106,"MESP",1
"(0.65,0.7]","wt","tbx-37/MA2185.1/Jaspar",0.879,"1e-17",0.00000000000000001,17,"TBX6",2
"(0.7,0.75]","BADC","Mesp1(bHLH)/ESC-Mesp1-ChIP-Seq(GSE165102)/Homer",0.945,"1e-107",0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,107,"MESP",1
"(0.7,0.75]","BADC","Unknown-ESC-element(?)/mES-Nanog-ChIP-Seq(GSE11724)/Homer",0.884,"1e-12",0.000000000001,12,"ZIC",2
"(0.7,0.75]","wt","Mesp1(bHLH)/ESC-Mesp1-ChIP-Seq(GSE165102)/Homer",0.977,"1e-76",0.0000000000000000000000000000000000000000000000000000000000000000000000000001,76,"MESP",1
"(0.75,0.8]","BADC","FOXD2/MA0847.4/Jaspar",0.914,"1e-44",0.00000000000000000000000000000000000000000001,44,"FOX",1
"(0.8,0.85]","BADC","fd59A/MA2232.1/Jaspar",0.907,"1e-20",0.00000000000000000001,20,"FOX",1
"(0.8,0.85]","BADC","Zic2/MA1629.2/Jaspar",0.953,"1e-16",0.0000000000000001,16,"ZIC",2
"(0.8,0.85]","BADC","ceh-60/MA2162.1/Jaspar",0.893,"1e-12",0.000000000001,12,"HOX DECA",3
"(0.8,0.85]","wt","MEIS1/MA1639.2/Jaspar",0.921,"1e-39",0.000000000000000000000000000000000000001,39,"HOX OCTA",1
"(0.8,0.85]","wt","fkh/MA0446.1/Jaspar",0.761,"1e-13",0.0000000000001,13,"FOX",2
"(0.85,0.9]","BADC","TWIST1/MA1123.3/Jaspar",0.945,"1e-24",0.000000000000000000000001,24,"TWIST",1
"(0.85,0.9]","BADC","Hr78/MA2245.1/Jaspar",0.941,"1e-15",0.000000000000001,15,"NR",2
"(0.85,0.9]","BADC","Ets1-distal(ETS)/CD4+-PolII-ChIP-Seq(Barski_et_al.)/Homer",0.943,"1e-14",0.00000000000001,14,"ETV",3
"(0.85,0.9]","BADC","fd59A/MA2232.1/Jaspar",0.865,"1e-14",0.00000000000001,14,"FOX",4
"(0.85,0.9]","wt","HOXA1(Homeobox)/mES-Hoxa1-ChIP-Seq(SRP084292)/Homer",0.931,"1e-42",0.000000000000000000000000000000000000000001,42,"HOX OCTA",1
"(0.85,0.9]","wt","BHLHA15(bHLH)/NIH3T3-BHLHB8.HA-ChIP-Seq(GSE119782)/Homer",0.867,"1e-15",0.000000000000001,15,"TWIST",2
"(0.85,0.9]","wt","PABPC3(RRM)/Homo_sapiens-RNCMPT00153-PBM/HughesRNA",0.857,"1e-12",0.000000000001,12,"FOX",3
